GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS
25500153,1610612765,Pistons,FTW,Ft. Wayne Zollner,0,28,,,,,,34,51.0,0.667,,,,,,,,22.0,90,
25500153,1610612737,Hawks,STL,St. Louis,0,29,,,,,,25,30.0,0.832,,,,,,,,34.0,83,
25500152,1610612755,Nationals,SYR,Syracuse,240,43,95.0,0.453,,,,36,46.0,0.783,,,,35.0,,,,20.0,122,
25500152,1610612747,Lakers,MNL,Minneapolis,240,38,88.0,0.431,,,,24,29.0,0.827,,,,31.0,,,,30.0,100,
25500154,1610612738,Celtics,BOS,Boston,240,51,106.0,0.48,,,,31,44.0,0.704,,,,37.0,,,,33.0,133,
25500154,1610612737,Hawks,STL,St. Louis,240,37,93.0,0.398,,,,38,53.0,0.716,,,,23.0,,,,28.0,112,
25500155,1610612752,Knicks,NYK,New York,0,40,,,,,,42,53.0,0.792,,,,,,,,27.0,122,
25500155,1610612747,Lakers,MNL,Minneapolis,19,38,12.0,3.166,,,,33,41.0,0.805,,,,,,,,33.0,109,
25500159,1610612752,Knicks,NYK,New York,0,27,,,,,,35,50.0,0.699,,,,,,,,27.0,89,
25500159,1610612747,Lakers,MNL,Minneapolis,0,39,,,,,,31,37.0,0.837,,,,,,,,34.0,109,
25500158,1610612758,Royals,ROC,Rochester,0,39,,,,,,19,26.0,0.73,,,,,,,,24.0,97,
25500158,1610612737,Hawks,STL,St. Louis,0,33,,,,,,24,32.0,0.75,,,,,,,,23.0,90,
25500156,1610612738,Celtics,BOS,Boston,240,37,92.0,0.402,,,,26,33.0,0.788,,,,22.0,,,,23.0,100,
25500156,1610612755,Nationals,SYR,Syracuse,240,36,112.0,0.321,,,,24,34.0,0.705,,,,22.0,,,,24.0,96,
25500157,1610612744,Warriors,PHW,Philadelphia,0,25,90.0,0.278,,,,41,46.0,0.891,,,,19.0,,,,28.0,91,
25500157,1610612765,Pistons,FTW,Ft. Wayne Zollner,0,30,83.0,0.36,,,,32,42.0,0.762,,,,20.0,,,,31.0,92,
25500162,1610612747,Lakers,MNL,Minneapolis,0,32,,,,,,31,36.0,0.86,,,,,,,,35.0,95,
25500162,1610612752,Knicks,NYK,New York,0,33,,,,,,34,57.0,0.595,,,,,,,,28.0,100,
25500163,1610612765,Pistons,FTW,Ft. Wayne Zollner,0,44,,,,,,31,43.0,0.72,,,,,,,,28.0,119,
25500163,1610612758,Royals,ROC,Rochester,0,32,,,,,,29,37.0,0.784,,,,,,,,28.0,93,
25500161,1610612755,Nationals,SYR,Syracuse,240,33,92.0,0.358,,,,39,55.0,0.708,,,,22.0,,,,29.0,105,
25500161,1610612737,Hawks,STL,St. Louis,240,39,94.0,0.414,,,,31,43.0,0.72,,,,25.0,,,,33.0,109,
25500160,1610612738,Celtics,BOS,Boston,240,42,108.0,0.389,,,,31,40.0,0.775,,,,27.0,,,,30.0,115,
25500160,1610612744,Warriors,PHW,Philadelphia,240,46,97.0,0.473,,,,37,42.0,0.881,,,,32.0,,,,28.0,129,
